logger_ID,res,PLC,PRC,TLC,HLI,SLP,TP3,TP5,TR3,TR5,HSD,VR3,VR5,SLR,ASP
348,151,-4.57e-4,-2.54e-4,-7.11e-4,0.9090815081754194,25.66153664722494,-12.123884715314034,-26.735201436306397,184.38640802861417,533.9295010661702,0.7801809276305337,0.00662630997416735,0.02193758202339468,0.44787830561526176,232.75144073370467
349,151,3.7e-5,-7.88e-4,-7.509999999999999e-4,0.8999609574469807,22.83009394159908,-14.665209064723513,-44.61655351901709,165.5986075210569,523.3001352892944,0.6927267442311915,0.02073947617295324,0.066944178846842,0.3984603078205139,250.27905338529695
350,151,-1.54e-4,-9.83e-4,-0.001137,0.9140982266525806,24.709579267594627,-20.863123422149783,-54.81069508841438,185.239312522,588.5850036004784,0.6390202087589796,0.02159139160901801,0.0568260398754632,0.4312635150020552,260.0941881029113
351,151,-4.55e-4,-0.001042,-0.001497,0.7948793175758512,15.563052850355946,-22.41850957034012,-58.929486627762344,147.71136273713185,501.2836756817628,0.5649989325323502,0.05124390282857605,0.08779493752474876,0.2716265139005996,285.2964983344108
352,151,5.8e-5,-7.4e-4,-6.82e-4,0.8736962625650434,21.14023913303016,-14.853838756881942,-48.91263321484348,155.22883710012607,531.3408844921136,0.6109991178281687,0.02383989550042409,0.06348601736615178,0.36896677753032786,267.6204258160387
353,151,2.45e-4,-0.001064,-8.190000000000001e-4,0.86598960929261,15.51710691608797,-13.34160037896936,-38.803738178115054,119.15996238444848,382.1280793677994,0.6832877512972512,0.01481054934618342,0.04237937169064831,0.27082460606971853,251.82342118360796
354,151,1.73e-4,-6.42e-4,-4.69e-4,0.9238766038257408,22.435250209200397,-10.575296087473816,-30.52844478963289,158.5225402830097,444.675091226268,0.721448378528051,0.00987578867609473,0.03124430384485199,0.3915689846592936,244.18442492869505
355,151,0.001069,-2.72e-4,7.970000000000001e-4,0.9439760705731404,28.63697709319293,4.262820053132145,-18.490232146565177,210.92311725311063,583.0057872670109,0.6335445083675743,0.01879072475475218,0.05695783663468856,0.4998095380944117,259.10581555279384
356,151,1.81e-4,-0.001015,-8.340000000000001e-4,0.8448816949038404,13.63199197578455,-13.330987833735437,-39.93607657781604,108.7435289429847,368.12561502848274,0.6734228814855866,0.01607014066270606,0.04492870312387143,0.2379231435828875,254.33714048811208
357,151,-1.87e-4,-0.00101,-0.001197,0.8668408330582478,19.742182943639257,-20.34072601434491,-54.04072398311746,152.89342484470026,520.1667267812238,0.6293480947524591,0.02529161309486205,0.0662113626841877,0.34456609389757115,264.6020824148257
