species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.16961148191327424,0.1361607240263606,PLC,15,0.03345075788691365,species,Planform Curvature (PLC)
Agrostis schraderiana,0.16744615977982502,0.1361607240263606,PLC,19,0.03128543575346443,species,Planform Curvature (PLC)
Agrostis schraderiana,0.1647352326823196,0.1361607240263606,PLC,25,0.028574508655959,species,Planform Curvature (PLC)
Agrostis schraderiana,0.16478932500194177,0.1361607240263606,PLC,31,0.02862860097558117,species,Planform Curvature (PLC)
Agrostis schraderiana,0.1580842438802006,0.1361607240263606,PLC,51,0.02192351985384,species,Planform Curvature (PLC)
Agrostis schraderiana,0.1485119490172525,0.1361607240263606,PLC,71,0.01235122499089191,species,Planform Curvature (PLC)
Agrostis schraderiana,0.13735986027177038,0.1361607240263606,PLC,101,0.00119913624540979,species,Planform Curvature (PLC)
Agrostis schraderiana,0.14070039055130612,0.1361607240263606,PLC,151,0.00453966652494552,species,Planform Curvature (PLC)
Agrostis schraderiana,0.15055268040232828,0.1361607240263606,PLC,201,0.01439195637596768,species,Planform Curvature (PLC)
Agrostis schraderiana,0.16280870369152645,0.1361607240263606,PLC,301,0.02664797966516585,species,Planform Curvature (PLC)
Agrostis schraderiana,0.1367153655089011,0.1361607240263606,PRC,1,5.546414825404744e-4,species,Profile Curvature (PRC)
Agrostis schraderiana,0.1505162696374105,0.1361607240263606,PRC,3,0.0143555456110499,species,Profile Curvature (PRC)
Agrostis schraderiana,0.16414726567290172,0.1361607240263606,PRC,7,0.02798654164654113,species,Profile Curvature (PRC)
Agrostis schraderiana,0.16686125210208003,0.1361607240263606,PRC,15,0.03070052807571943,species,Profile Curvature (PRC)
Agrostis schraderiana,0.1639410872917525,0.1361607240263606,PRC,19,0.0277803632653919,species,Profile Curvature (PRC)
Agrostis schraderiana,0.1586797168611217,0.1361607240263606,PRC,25,0.02251899283476111,species,Profile Curvature (PRC)
Agrostis schraderiana,0.15137955275137172,0.1361607240263606,PRC,31,0.01521882872501112,species,Profile Curvature (PRC)
Agrostis schraderiana,0.13870579556842133,0.1361607240263606,PRC,51,0.00254507154206073,species,Profile Curvature (PRC)
Agrostis schraderiana,0.13914768393024035,0.1361607240263606,PRC,71,0.00298695990387976,species,Profile Curvature (PRC)
Agrostis schraderiana,0.15432201544623392,0.1361607240263606,PRC,101,0.01816129141987332,species,Profile Curvature (PRC)
Agrostis schraderiana,0.1714091966710114,0.1361607240263606,PRC,151,0.03524847264465081,species,Profile Curvature (PRC)
Agrostis schraderiana,0.17839097572767815,0.1361607240263606,PRC,201,0.04223025170131755,species,Profile Curvature (PRC)
Agrostis schraderiana,0.18384534164748212,0.1361607240263606,PRC,301,0.04768461762112153,species,Profile Curvature (PRC)
Agrostis schraderiana,0.189118964509839,0.1361607240263606,SLP,1,0.05295824048347841,species,Slope (SLP)
Agrostis schraderiana,0.2033171101628406,0.1361607240263606,SLP,3,0.06715638613648,species,Slope (SLP)
Agrostis schraderiana,0.21420938926330357,0.1361607240263606,SLP,7,0.07804866523694298,species,Slope (SLP)
Agrostis schraderiana,0.23077487939808905,0.1361607240263606,SLP,15,0.09461415537172846,species,Slope (SLP)
Agrostis schraderiana,0.23739133433072357,0.1361607240263606,SLP,19,0.10123061030436298,species,Slope (SLP)
Agrostis schraderiana,0.2417470700040628,0.1361607240263606,SLP,25,0.10558634597770222,species,Slope (SLP)
Agrostis schraderiana,0.24246028394826305,0.1361607240263606,SLP,31,0.10629955992190245,species,Slope (SLP)
Agrostis schraderiana,0.24172310526089036,0.1361607240263606,SLP,51,0.10556238123452975,species,Slope (SLP)
Agrostis schraderiana,0.24071951741284223,0.1361607240263606,SLP,71,0.10455879338648166,species,Slope (SLP)
Agrostis schraderiana,0.23932632077411944,0.1361607240263606,SLP,101,0.10316559674775884,species,Slope (SLP)
Agrostis schraderiana,0.23701129840267077,0.1361607240263606,SLP,151,0.10085057437631018,species,Slope (SLP)
Agrostis schraderiana,0.23639497577353352,0.1361607240263606,SLP,201,0.10023425174717292,species,Slope (SLP)
Agrostis schraderiana,0.23269026104748855,0.1361607240263606,SLP,301,0.096529537021128,species,Slope (SLP)
Agrostis schraderiana,0.14159059135214191,0.1361607240263606,TLC,1,0.00542986732578132,species,Total Curvature (TLC)
Agrostis schraderiana,0.16102061058408257,0.1361607240263606,TLC,3,0.02485988655772197,species,Total Curvature (TLC)
Agrostis schraderiana,0.17905441259364463,0.1361607240263606,TLC,7,0.04289368856728404,species,Total Curvature (TLC)
Agrostis schraderiana,0.1851402653000257,0.1361607240263606,TLC,15,0.0489795412736651,species,Total Curvature (TLC)
