species,deviance,null_mod,index,resolution,dev_explained,kind
Calamagrostis villosa,0.32324810376474566,0.2717996884364202,MVS,3,0.05144841532832545,species
Calamagrostis villosa,0.3374006716516117,0.2717996884364202,MVS,7,0.06560098321519148,species
Calamagrostis villosa,0.3263708942238641,0.2717996884364202,MVS,15,0.0545712057874439,species
Calamagrostis villosa,0.3144037006919378,0.2717996884364202,MVS,19,0.042604012255517576,species
Calamagrostis villosa,0.30303404878682827,0.2717996884364202,MVS,25,0.031234360350408052,species
Calamagrostis villosa,0.30289487958193584,0.2717996884364202,MVS,31,0.03109519114551562,species
Calamagrostis villosa,0.294961543569745,0.2717996884364202,MVS,51,0.023161855133324805,species
Calamagrostis villosa,0.28118010041526675,0.2717996884364202,MVS,71,0.009380411978846537,species
Calamagrostis villosa,0.28850854040871565,0.2717996884364202,MVS,101,0.016708851972295435,species
Calamagrostis villosa,0.2981371262328302,0.2717996884364202,MVS,151,0.026337437796409957,species
Calamagrostis villosa,0.28671605847689974,0.2717996884364202,MVS,201,0.01491637004047952,species
Calamagrostis villosa,0.27799928446724453,0.2717996884364202,MVS,301,0.006199596030824317,species
Calamagrostis villosa,0.2949141591995863,0.2717996884364202,PLC,1,0.023114470763166084,species
Calamagrostis villosa,0.28210125921592955,0.2717996884364202,PLC,3,0.010301570779509328,species
Calamagrostis villosa,0.27620419445935074,0.2717996884364202,PLC,7,0.004404506022930521,species
Calamagrostis villosa,0.27956291260278354,0.2717996884364202,PLC,15,0.007763224166363325,species
Calamagrostis villosa,0.28059475873894046,0.2717996884364202,PLC,19,0.008795070302520247,species
Calamagrostis villosa,0.2879683282518185,0.2717996884364202,PLC,25,0.01616863981539829,species
Calamagrostis villosa,0.29371511206412804,0.2717996884364202,PLC,31,0.02191542362770782,species
Calamagrostis villosa,0.28084109924711087,0.2717996884364202,PLC,51,0.009041410810690653,species
Calamagrostis villosa,0.27778525668008136,0.2717996884364202,PLC,71,0.0059855682436611435,species
Calamagrostis villosa,0.2772799544704456,0.2717996884364202,PLC,101,0.005480266034025405,species
Calamagrostis villosa,0.2784287862899393,0.2717996884364202,PLC,151,0.0066290978535190614,species
Calamagrostis villosa,0.28532775883487527,0.2717996884364202,PLC,201,0.01352807039845505,species
Calamagrostis villosa,0.29201922337270003,0.2717996884364202,PLC,301,0.020219534936279815,species
Calamagrostis villosa,0.29040661448350447,0.2717996884364202,PRC,1,0.01860692604708425,species
Calamagrostis villosa,0.275267678761842,0.2717996884364202,PRC,3,0.003467990325421777,species
Calamagrostis villosa,0.2767458258999793,0.2717996884364202,PRC,7,0.004946137463559097,species
Calamagrostis villosa,0.2795953459905699,0.2717996884364202,PRC,15,0.007795657554149682,species
Calamagrostis villosa,0.2771753846102071,0.2717996884364202,PRC,19,0.005375696173786859,species
Calamagrostis villosa,0.2784368410595798,0.2717996884364202,PRC,25,0.006637152623159559,species
Calamagrostis villosa,0.28185741348943383,0.2717996884364202,PRC,31,0.01005772505301361,species
Calamagrostis villosa,0.27588157987521766,0.2717996884364202,PRC,51,0.004081891438797447,species
Calamagrostis villosa,0.2788856814842029,0.2717996884364202,PRC,71,0.007085993047782679,species
Calamagrostis villosa,0.2857000309569009,0.2717996884364202,PRC,101,0.013900342520480669,species
Calamagrostis villosa,0.291105490614072,0.2717996884364202,PRC,151,0.019305802177651765,species
Calamagrostis villosa,0.2906110774865007,0.2717996884364202,PRC,201,0.018811389050080507,species
Calamagrostis villosa,0.2831567472452553,0.2717996884364202,PRC,301,0.011357058808835085,species
Calamagrostis villosa,0.3401244441032525,0.2717996884364202,SLP,1,0.06832475566683227,species
Calamagrostis villosa,0.32936122989300654,0.2717996884364202,SLP,3,0.05756154145658632,species
Calamagrostis villosa,0.3485031792272175,0.2717996884364202,SLP,7,0.0767034907907973,species
Calamagrostis villosa,0.3630928229548178,0.2717996884364202,SLP,15,0.0912931345183976,species
Calamagrostis villosa,0.362343321082213,0.2717996884364202,SLP,19,0.0905436326457928,species
Calamagrostis villosa,0.35635406965114935,0.2717996884364202,SLP,25,0.08455438121472914,species
Calamagrostis villosa,0.34939574777950044,0.2717996884364202,SLP,31,0.07759605934308023,species
Calamagrostis villosa,0.33799477689915125,0.2717996884364202,SLP,51,0.06619508846273103,species
Calamagrostis villosa,0.33043002229039786,0.2717996884364202,SLP,71,0.058630333853977645,species
Calamagrostis villosa,0.3241678290490897,0.2717996884364202,SLP,101,0.05236814061266948,species
Calamagrostis villosa,0.32250367578981287,0.2717996884364202,SLP,151,0.050703987353392654,species
Calamagrostis villosa,0.3241340122388736,0.2717996884364202,SLP,201,0.0523343238024534,species
Calamagrostis villosa,0.32034935690893407,0.2717996884364202,SLP,301,0.04854966847251385,species
Calamagrostis villosa,0.34012444410325293,0.2717996884364202,SLR,1,0.06832475566683271,species
Calamagrostis villosa,0.3293612298930071,0.2717996884364202,SLR,3,0.05756154145658687,species
Calamagrostis villosa,0.34850317922721585,0.2717996884364202,SLR,7,0.07670349079079564,species
Calamagrostis villosa,0.3630928229548185,0.2717996884364202,SLR,15,0.09129313451839827,species
Calamagrostis villosa,0.36234332108221223,0.2717996884364202,SLR,19,0.09054363264579202,species
Calamagrostis villosa,0.3563540696511488,0.2717996884364202,SLR,25,0.08455438121472858,species
Calamagrostis villosa,0.34939574777949944,0.2717996884364202,SLR,31,0.07759605934307923,species
Calamagrostis villosa,0.33799477689915136,0.2717996884364202,SLR,51,0.06619508846273114,species
Calamagrostis villosa,0.3304300222903964,0.2717996884364202,SLR,71,0.0586303338539762,species
Calamagrostis villosa,0.32416782904909014,0.2717996884364202,SLR,101,0.05236814061266992,species
Calamagrostis villosa,0.32250367578981265,0.2717996884364202,SLR,151,0.05070398735339243,species
Calamagrostis villosa,0.3241340122388744,0.2717996884364202,SLR,201,0.052334323802454175,species
Calamagrostis villosa,0.32034935690893407,0.2717996884364202,SLR,301,0.04854966847251385,species
Calamagrostis villosa,0.30922899903449774,0.2717996884364202,TLC,1,0.037429310598077525,species
Calamagrostis villosa,0.28449383607900636,0.2717996884364202,TLC,3,0.01269414764258614,species
Calamagrostis villosa,0.2778141576246601,0.2717996884364202,TLC,7,0.00601446918823989,species
Calamagrostis villosa,0.283011831571336,0.2717996884364202,TLC,15,0.011212143134915808,species
Calamagrostis villosa,0.2878362766157194,0.2717996884364202,TLC,19,0.016036588179299205,species
Calamagrostis villosa,0.29925286258341566,0.2717996884364202,TLC,25,0.02745317414699544,species
Calamagrostis villosa,0.30135016438672113,0.2717996884364202,TLC,31,0.029550475950300914,species
Calamagrostis villosa,0.2841655351059371,0.2717996884364202,TLC,51,0.0123658466695169,species
Calamagrostis villosa,0.2760934561950037,0.2717996884364202,TLC,71,0.004293767758583478,species
Calamagrostis villosa,0.2719458420882175,0.2717996884364202,TLC,101,1.4615365179726503e-4,species
Calamagrostis villosa,0.28141896938865696,0.2717996884364202,TLC,151,0.009619280952236742,species
Calamagrostis villosa,0.2963797829996897,0.2717996884364202,TLC,201,0.024580094563269483,species
Calamagrostis villosa,0.32621403640511215,0.2717996884364202,TLC,301,0.054414347968691934,species
Calamagrostis villosa,0.29629705376602733,0.2717996884364202,TP3,1,0.024497365329607113,species
Calamagrostis villosa,0.2796799656994421,0.2717996884364202,TP3,3,0.007880277263021873,species
Calamagrostis villosa,0.2801099208367853,0.2717996884364202,TP3,7,0.008310232400365103,species
Calamagrostis villosa,0.2909183531280831,0.2717996884364202,TP3,15,0.0191186646916629,species
Calamagrostis villosa,0.296821892184034,0.2717996884364202,TP3,19,0.02502220374761377,species
Calamagrostis villosa,0.3020045421842621,0.2717996884364202,TP3,25,0.030204853747841875,species
Calamagrostis villosa,0.296473569038064,0.2717996884364202,TP3,31,0.02467388060164377,species
Calamagrostis villosa,0.27962298180933887,0.2717996884364202,TP3,51,0.00782329337291865,species
Calamagrostis villosa,0.27435948401721055,0.2717996884364202,TP3,71,0.002559795580790336,species
Calamagrostis villosa,0.2745784304628254,0.2717996884364202,TP3,101,0.0027787420264051566,species
Calamagrostis villosa,0.28952653407595696,0.2717996884364202,TP3,151,0.017726845639536748,species
Calamagrostis villosa,0.29970090562341556,0.2717996884364202,TP3,201,0.027901217186995342,species
Calamagrostis villosa,0.3220022978590097,0.2717996884364202,TP3,301,0.05020260942258947,species
Calamagrostis villosa,0.28600547792206,0.2717996884364202,TP5,1,0.014205789485639775,species
Calamagrostis villosa,0.279062188877629,0.2717996884364202,TP5,3,0.007262500441208797,species
Calamagrostis villosa,0.2857422117359034,0.2717996884364202,TP5,7,0.0139425232994832,species
Calamagrostis villosa,0.3019498867104723,0.2717996884364202,TP5,15,0.030150198274052076,species
Calamagrostis villosa,0.30072865245737535,0.2717996884364202,TP5,19,0.028928964020955128,species
Calamagrostis villosa,0.2907775706621233,0.2717996884364202,TP5,25,0.01897788222570307,species
Calamagrostis villosa,0.28391118093443246,0.2717996884364202,TP5,31,0.012111492498012244,species
Calamagrostis villosa,0.27361292849028274,0.2717996884364202,TP5,51,0.0018132400538625193,species
Calamagrostis villosa,0.2762219931711005,0.2717996884364202,TP5,71,0.004422304734680305,species
Calamagrostis villosa,0.2867767283062461,0.2717996884364202,TP5,101,0.014977039869825903,species
Calamagrostis villosa,0.30033554189900835,0.2717996884364202,TP5,151,0.028535853462588134,species
Calamagrostis villosa,0.31252358389581936,0.2717996884364202,TP5,201,0.04072389545939914,species
Calamagrostis villosa,0.3463857806664289,0.2717996884364202,TP5,301,0.07458609223000867,species
Calamagrostis villosa,0.3454086379316842,0.2717996884364202,TR3,1,0.07360894949526398,species
Calamagrostis villosa,0.32996015102813325,0.2717996884364202,TR3,3,0.058160462591713036,species
Calamagrostis villosa,0.3578465512948359,0.2717996884364202,TR3,7,0.08604686285841567,species
Calamagrostis villosa,0.37757949433986027,0.2717996884364202,TR3,15,0.10577980590344005,species
Calamagrostis villosa,0.37803303623082973,0.2717996884364202,TR3,19,0.10623334779440952,species
Calamagrostis villosa,0.3703466920137761,0.2717996884364202,TR3,25,0.09854700357735591,species
Calamagrostis villosa,0.3620698907710519,0.2717996884364202,TR3,31,0.09027020233463168,species
Calamagrostis villosa,0.3476816329222363,0.2717996884364202,TR3,51,0.07588194448581609,species
Calamagrostis villosa,0.3347417112705521,0.2717996884364202,TR3,71,0.06294202283413186,species
Calamagrostis villosa,0.32758346814127737,0.2717996884364202,TR3,101,0.05578377970485715,species
Calamagrostis villosa,0.3238863504368056,0.2717996884364202,TR3,151,0.052086662000385364,species
Calamagrostis villosa,0.32039865421528213,0.2717996884364202,TR3,201,0.04859896577886191,species
Calamagrostis villosa,0.30063462564988797,0.2717996884364202,TR3,301,0.02883493721346775,species
Calamagrostis villosa,0.33050718719230365,0.2717996884364202,TR5,1,0.058707498755883436,species
Calamagrostis villosa,0.3431499108445021,0.2717996884364202,TR5,3,0.07135022240808186,species
Calamagrostis villosa,0.37459534419498497,0.2717996884364202,TR5,7,0.10279565575856475,species
Calamagrostis villosa,0.37218732318531433,0.2717996884364202,TR5,15,0.10038763474889412,species
Calamagrostis villosa,0.36216555591814925,0.2717996884364202,TR5,19,0.09036586748172903,species
Calamagrostis villosa,0.3523595216056292,0.2717996884364202,TR5,25,0.080559833169209,species
Calamagrostis villosa,0.3463089721393564,0.2717996884364202,TR5,31,0.07450928370293619,species
Calamagrostis villosa,0.32894209484735193,0.2717996884364202,TR5,51,0.05714240641093171,species
Calamagrostis villosa,0.3256394443597027,0.2717996884364202,TR5,71,0.053839755923282495,species
Calamagrostis villosa,0.32267367731282437,0.2717996884364202,TR5,101,0.05087398887640415,species
Calamagrostis villosa,0.3086309259752352,0.2717996884364202,TR5,151,0.03683123753881501,species
Calamagrostis villosa,0.2926969015173593,0.2717996884364202,TR5,201,0.02089721308093906,species
Calamagrostis villosa,0.31776611112302977,0.2717996884364202,TR5,301,0.045966422686609554,species
Calamagrostis villosa,0.30751233990030247,0.2717996884364202,TWI,1,0.03571265146388225,species
Calamagrostis villosa,0.2967595101714746,0.2717996884364202,TWI,3,0.0249598217350544,species
Calamagrostis villosa,0.31335385171744967,0.2717996884364202,TWI,7,0.041554163281029455,species
Calamagrostis villosa,0.3222380109087325,0.2717996884364202,TWI,15,0.05043832247231228,species
Calamagrostis villosa,0.32255737042926313,0.2717996884364202,TWI,19,0.05075768199284292,species
Calamagrostis villosa,0.32895520936043765,0.2717996884364202,TWI,25,0.05715552092401743,species
Calamagrostis villosa,0.3332610107788051,0.2717996884364202,TWI,31,0.06146132234238488,species
Calamagrostis villosa,0.33553470622865933,0.2717996884364202,TWI,51,0.06373501779223911,species
Calamagrostis villosa,0.3523713327964674,0.2717996884364202,TWI,71,0.08057164436004716,species
Calamagrostis villosa,0.32488646141101496,0.2717996884364202,TWI,101,0.05308677297459474,species
Calamagrostis villosa,0.313725838946311,0.2717996884364202,TWI,151,0.04192615050989079,species
Calamagrostis villosa,0.3003820244899299,0.2717996884364202,TWI,201,0.028582336053509683,species
Calamagrostis villosa,0.33106972586130823,0.2717996884364202,TWI,301,0.05927003742488801,species
Calamagrostis villosa,0.28099770203121144,0.2717996884364202,VR3,1,0.009198013594791221,species
Calamagrostis villosa,0.2734092109106737,0.2717996884364202,VR3,3,0.0016095224742534997,species
Calamagrostis villosa,0.27815431668882173,0.2717996884364202,VR3,7,0.006354628252401517,species
Calamagrostis villosa,0.2894746881052679,0.2717996884364202,VR3,15,0.01767499966884767,species
Calamagrostis villosa,0.2832515329283086,0.2717996884364202,VR3,19,0.011451844491888408,species
Calamagrostis villosa,0.282313819827128,0.2717996884364202,VR3,25,0.010514131390707782,species
Calamagrostis villosa,0.2836514912730431,0.2717996884364202,VR3,31,0.011851802836622904,species
Calamagrostis villosa,0.2970968120151345,0.2717996884364202,VR3,51,0.025297123578714276,species
Calamagrostis villosa,0.2974887961567527,0.2717996884364202,VR3,71,0.025689107720332505,species
Calamagrostis villosa,0.30699479342694647,0.2717996884364202,VR3,101,0.03519510499052625,species
Calamagrostis villosa,0.30955745476846663,0.2717996884364202,VR3,151,0.037757766332046416,species
Calamagrostis villosa,0.3292692305021313,0.2717996884364202,VR3,201,0.05746954206571109,species
Calamagrostis villosa,0.35430980121382694,0.2717996884364202,VR3,301,0.08251011277740672,species
Calamagrostis villosa,0.28294309305747056,0.2717996884364202,VR5,1,0.011143404621050346,species
Calamagrostis villosa,0.27369498736511844,0.2717996884364202,VR5,3,0.0018952989286982191,species
Calamagrostis villosa,0.2842746121037171,0.2717996884364202,VR5,7,0.012474923667296856,species
Calamagrostis villosa,0.28277352670658307,0.2717996884364202,VR5,15,0.01097383827016285,species
Calamagrostis villosa,0.28358333048967643,0.2717996884364202,VR5,19,0.011783642053256216,species
Calamagrostis villosa,0.2870768437716906,0.2717996884364202,VR5,25,0.01527715533527041,species
Calamagrostis villosa,0.29467935326346617,0.2717996884364202,VR5,31,0.022879664827045954,species
Calamagrostis villosa,0.30305776102493764,0.2717996884364202,VR5,51,0.03125807258851743,species
Calamagrostis villosa,0.3113755250355231,0.2717996884364202,VR5,71,0.03957583659910291,species
Calamagrostis villosa,0.30576865969264155,0.2717996884364202,VR5,101,0.033968971256221336,species
Calamagrostis villosa,0.3200919100717854,0.2717996884364202,VR5,151,0.04829222163536517,species
Calamagrostis villosa,0.34247418374756766,0.2717996884364202,VR5,201,0.07067449531114744,species
Calamagrostis villosa,0.3309864596979668,0.2717996884364202,VR5,301,0.05918677126154659,species
Juniperus communis subsp. nana,0.2800621574444686,0.24595893078660724,ASP,1,0.03410322665786136,species
Juniperus communis subsp. nana,0.2912884824036156,0.24595893078660724,ASP,3,0.04532955161700836,species
Juniperus communis subsp. nana,0.29400921980692185,0.24595893078660724,ASP,7,0.04805028902031461,species
Juniperus communis subsp. nana,0.3012376507510175,0.24595893078660724,ASP,15,0.05527871996441025,species
Juniperus communis subsp. nana,0.30500995637302786,0.24595893078660724,ASP,19,0.059051025586420614,species
Juniperus communis subsp. nana,0.3055575242521268,0.24595893078660724,ASP,25,0.059598593465519545,species
Juniperus communis subsp. nana,0.30506381404644123,0.24595893078660724,ASP,31,0.059104883259833985,species
Juniperus communis subsp. nana,0.3079124079599017,0.24595893078660724,ASP,51,0.06195347717329447,species
Juniperus communis subsp. nana,0.30537098695513565,0.24595893078660724,ASP,71,0.059412056168528404,species
